# Тіні у ЗВИЧАЙНІЙ грі (не в досліді). Дві збірки, різниця рівно в Quality.SHADOWS[SMOOTH].
# Redmi 8A, Adreno 505, Compatibility. Рівень 7 «ліс», 5 доріжок, стан якості «Плавно».
# Знімки накладки кожні 6 с під час бігу. Зерно рівня випадкове, місця в серіях різні.
збірка	проба	кадр_мс	кс	1проц_low_мс	цп_мс	виклики	примітиви
тінь_є	1	85.2	12	125.2	10.6
тінь_є	2	89.6	11	459.4	11.8
тінь_є	3	85.1	12	124.8	14.6
тінь_є	4	84.5	12	112.1	11.8
тінь_є	5	84.2	12	147.3	11.7
тінь_є	кадр_з_повного_знімка	86.0	12	128.7	12.9	168	122076
тіні_нема	1	66.4	15	98.1	9.7
тіні_нема	2	67.1	15	99.8	10.4
тіні_нема	3	67.4	15	99.7	8.0
тіні_нема	4	70.8	14	103.9	9.5
тіні_нема	5	68.2	15	105.6	6.7
тіні_нема	кадр_з_повного_знімка	66.6	15	97.4	6.9	136	77582
# Медіани: 85.1 проти 67.4 мс. Різниця -17.7 мс (-20.8%), 12 -> 15 к/с.
# Діапазони не перетинаються: 84.2-89.6 проти 66.4-70.8.
